Found fragments: 
m/z 	z 	I 	fragment 	error 	std-dev 	formula 
1474.172441	8	20062655.75	a37-G	-4.88	0.53	C348H428N136O261P36	
1565.595192	8	19755741.53	a38+CMCT	1.81	0.51	C377H470N149O269P37	
1385.172239	9	158747992.41	a39-A	1.63	0.43	C368H452N146O274P38	
1556.44907	8	54483292.69	a39-G	4.05	0.22	C368H452N146O273P38	
1244.948833	10	22683331.75	a39-G	-3.15	0.59	C368H452N146O273P38	
1421.726795	9	35559204.26	a40-A	-3.22	0.29	C378H464N151O280P39	
1524.542946	9	43532193.6	a42+CMCT-A	0.33	0.38	C412H513N164O294P41	
1371.979475	10	69858733.76	a42+CMCT-A	-5.83	0.37	C412H513N164O294P41	
1522.767021	9	47870926.49	a42+CMCT-G	1.17	0.26	C412H513N164O293P41	
1494.855404	9	16961397.06	a42-G	0.84	0.45	C398H488N161O292P41	
1402.5908	10	3608514303.09	a43+CMCT-A	0.57	0.39	C421H524N166O302P42	
1751.484865	8	19498231.89	a43+CMCT-G	-2.91	0.47	C421H524N166O301P42	
1720.093282	8	20084130.32	a43-G	1.91	0.42	C407H499N163O300P42	
1375.869482	10	93053408.54	a43-G	-0.77	0.47	C407H499N163O300P42	
1423.882713	10	24185812.93	a44	1.39	0.41	C422H516N173O307P43	
1410.368746	10	24016711.47	a44-A	-4.63	0.32	C417H511N168O307P43	
1510.006171	10	31320845.24	a46+CMCT	-1.85	0.32	C454H565N182O322P45	
1372.650958	11	23610798.29	a46+CMCT	5.18	0.42	C454H565N182O322P45	
1634.980203	9	22254394.39	a46-A	-1.42	0.63	C435H535N174O321P45	
1471.378188	10	19599169.71	a46-A	-3.64	0.42	C435H535N174O321P45	
689.087458	1	35381982.38	c02	-0.2	0.05	C20H24N10O14P2	
1034.135522	1	40201806.74	c03	0.48	0.08	C30H36N15O21P3	
669.576334	2	24250768.57	c04	-0.29	0.12	C39H47N17O29P4	
822.590177	2	65680685.26	c05	1.21	0.05	C48H58N19O37P5	
975.110417	2	103244704.2	c06	0.61	0.06	C57H70N22O44P6	
1128.121365	2	77898707.61	c07	-0.98	0.04	C66H81N24O52P7	
751.744846	3	18955216.31	c07	-1.39	0.21	C66H81N24O52P7	
1281.136474	2	116739397.54	c08	1.05	0.05	C75H92N26O60P8	
853.754026	3	178924580.21	c08	-0.35	0.02	C75H92N26O60P8	
803.40386	3	6469543.12	c08-G	-0.82	0.55	C70H87N21O59P8	
1453.665267	2	35218649.55	c09	4.42	0.06	C85H104N31O67P9	
968.77082	3	189311759.42	c09	0.71	0.04	C85H104N31O67P9	
1378.136604	2	76489188.01	c09-G	1.79	0.44	C80H99N26O66P9	
918.421133	3	18768766.64	c09-G	0.87	0.13	C80H99N26O66P9	
1626.183079	2	20608804.26	c10	0.32	0.32	C95H116N36O74P10	
1083.785727	3	198549732.14	c10	-0.2	0.03	C95H116N36O74P10	
812.585965	4	35009212.98	c10	-2.06	0.15	C95H116N36O74P10	
1167.51832	3	19470242.92	c10+CMCT	-0.75	0.33	C109H141N39O75P10	
1033.435616	3	29428979.78	c10-G	-0.51	0.14	C90H111N31O73P10	
1198.803069	3	104201741.12	c11	1.09	0.03	C105H128N41O81P11	
898.848993	4	34672344.08	c11	-0.56	0.12	C105H128N41O81P11	
1308.48579	3	131028105.48	c12	-0.11	0.07	C115H140N46O87P12	
981.113437	4	93266790.5	c12	0.82	0.05	C115H140N46O87P12	
943.349514	4	22793517.85	c12-G	-0.81	0.2	C110H135N41O86P12	
1423.507525	3	47928192.71	c13	4.06	0.28	C125H152N51O94P13	
1067.377117	4	32873137.96	c13	2.46	0.1	C125H152N51O94P13	
1525.182001	3	100122779.48	c14	-0.11	0.2	C134H164N54O101P14	
914.707695	5	31345657.4	c14	1.42	0.13	C134H164N54O101P14	
1608.912929	3	18955376.27	c14+CMCT	-1.55	0.34	C148H189N57O102P14	
1634.86745	3	90585619.59	c15	0.68	0.09	C144H176N59O107P15	
1225.899438	4	371436937.85	c15	1.22	0.02	C144H176N59O107P15	
980.516906	5	789578987.39	c15	0.01	0.02	C144H176N59O107P15	
1288.697257	4	60727793.72	c15+CMCT	-0.48	0.06	C158H201N62O108P15	
1030.757803	5	14771617.84	c15+CMCT	0.93	0.34	C158H201N62O108P15	
1188.136837	4	42738073.2	c15-G	1.05	0.13	C139H171N54O106P15	
950.306795	5	111432735.32	c15-G	-0.23	0.06	C139H171N54O106P15	
1312.163555	4	34209990.17	c16	2.86	0.3	C154H188N64O114P16	
1049.527052	5	32722386.02	c16	0.64	0.18	C154H188N64O114P16	
1019.314297	5	15672145.59	c16-G	-2.16	0.34	C149H183N59O113P16	
1851.557229	3	32703821.95	c17	-2.89	0.21	C163H200N67O121P17	
1470.685184	4	92254793.09	c18	1.31	0.14	C173H212N72O127P18	
1176.346344	5	68865859.49	c18	1.02	0.1	C173H212N72O127P18	
980.119765	6	106890120.67	c18	0.02	0.09	C173H212N72O127P18	
1533.489433	4	27954409.65	c18+CMCT	4.07	0.26	C187H237N75O128P18	
1495.722006	4	52567994.91	c18+CMCT-G	0.78	0.47	C182H232N70O127P18	
954.940775	6	20387205.24	c18-G	-4.26	0.22	C168H207N67O126P18	
1556.950909	4	101269549.01	c19	3.73	0.11	C183H224N77O134P19	
1245.351544	5	43872135.25	c19	-2.48	0.23	C183H224N77O134P19	
1037.629087	6	143311975.11	c19	1.39	0.04	C183H224N77O134P19	
1519.18522	4	20349193.39	c19-G	1.62	0.39	C178H219N72O133P19	
1012.453556	6	27765289.45	c19-G	0.8	0.16	C178H219N72O133P19	
1643.207294	4	36764196.84	c20	0.2	0.41	C193H236N82O141P20	
1725.468782	4	33589108.18	c21	-0.76	0.16	C203H248N87O147P21	
1400.206176	5	126915011.62	c21+CMCT-G	1.06	0.24	C212H268N85O147P21	
1801.97353	4	18407189.37	c22	-1.61	0.41	C212H259N89O155P22	
1441.380166	5	19316419.62	c22	0.33	0.36	C212H259N89O155P22	
1200.983694	6	66261411.96	c22	1.53	0.12	C212H259N89O155P22	
1029.270782	7	49360272.33	c22	1.61	0.11	C212H259N89O155P22	
1251.987789	6	43838301.04	c23	1.37	0.14	C221H270N91O163P23	
1072.986959	7	111184611.48	c23	-0.06	0.1	C221H270N91O163P23	
1293.852846	6	32219737.74	c23+CMCT	0.11	0.24	C235H295N94O164P23	
1108.871122	7	24649994.74	c23+CMCT	-1.43	0.24	C235H295N94O164P23	
1522.611801	5	26896196.32	c23+CMCT-G	-1.98	0.41	C230H290N89O163P23	
1563.596746	5	25604461.43	c24	2.39	0.4	C230H282N94O170P24	
1302.82498	6	19737422.04	c24	-1.0	0.43	C230H282N94O170P24	
1116.565502	7	67901663.99	c24	1.03	0.11	C230H282N94O170P24	
1613.834297	5	45389088.14	c24+CMCT	0.83	0.23	C244H307N97O171P24	
1152.450116	7	47213511.1	c24+CMCT	0.07	0.18	C244H307N97O171P24	
1201.747754	7	39359533.44	c25+CMCT	4.35	0.15	C254H319N102O178P25	
840.91299	10	13639188.23	c25+CMCT	-5.46	0.42	C254H319N102O178P25	
1377.026073	6	32002571.44	c25+CMCT-G	0.11	0.52	C249H314N97O177P25	
1209.574204	7	54950899.36	c26	-0.44	0.14	C249H305N101O185P26	
1744.054137	5	14309383.34	c26+CMCT	3.8	0.44	C263H330N104O186P26	
1245.461187	7	50070119.56	c26+CMCT	0.61	0.25	C263H330N104O186P26	
2193.774312	4	17647958.67	c27	1.25	0.45	C258H317N104O192P27	
1134.5135	8	24941247.56	c28	1.05	0.28	C267H329N107O199P28	
1165.91541	8	18482000.69	c28+CMCT	2.68	0.51	C281H354N110O200P28	
1340.445017	7	69213759.77	c29	-1.7	0.12	C276H340N109O207P29	
1172.763195	8	66349842.42	c29	-1.94	0.08	C276H340N109O207P29	
1927.270676	5	37257806.21	c29+CMCT	0.83	0.26	C290H365N112O208P29	
1605.889307	6	70410704.64	c29+CMCT	-0.23	0.14	C290H365N112O208P29	
1204.166314	8	70456540.53	c29+CMCT	0.72	0.1	C290H365N112O208P29	
1215.89794	8	50494526.66	c30	1.26	0.23	C286H352N114O214P30	
1663.401462	6	37196975.11	c30+CMCT	2.33	0.24	C300H377N117O215P30	
1425.625687	7	38211351.66	c30+CMCT	0.16	0.32	C300H377N117O215P30	
1247.296997	8	70259278.17	c30+CMCT	0.5	0.2	C300H377N117O215P30	
1439.030107	7	25374580.96	c31	-1.51	0.58	C296H364N119O221P31	
1290.429014	8	37276469.23	c31+CMCT	1.33	0.2	C310H389N122O222P31	
1297.157312	8	21075293.32	c32	-0.14	0.43	C305H376N122O228P32	
1518.493369	7	37264847.21	c32+CMCT	-1.26	0.41	C319H401N125O229P32	
1328.557718	8	71067673.91	c32+CMCT	0.19	0.11	C319H401N125O229P32	
1526.32699	7	105645177.71	c33	-0.34	0.13	C314H387N124O236P33	
1335.410449	8	51093125.52	c33	-0.15	0.2	C314H387N124O236P33	
1822.76078	6	117432992.18	c33+CMCT	5.95	0.18	C328H412N127O237P33	
1562.216813	7	268310589.7	c33+CMCT	2.32	0.04	C328H412N127O237P33	
1366.814866	8	123742031.45	c33+CMCT	3.1	0.07	C328H412N127O237P33	
1540.634687	7	37776674.96	c33+CMCT-G	-0.01	0.31	C323H407N122O236P33	
1575.61455	7	20787437.48	c34	-3.46	0.39	C324H399N129O243P34	
1611.508816	7	54092895.17	c34+CMCT	1.95	0.13	C338H424N132O244P34	
1409.943653	8	95871204.72	c34+CMCT	1.49	0.07	C338H424N132O244P34	
1416.788564	8	33453376.07	c35	-4.37	0.35	C333H410N131O251P35	
1655.232375	7	59503984.42	c35+CMCT	5.32	0.16	C347H435N134O252P35	
1448.198507	8	168499210.58	c35+CMCT	2.62	0.08	C347H435N134O252P35	
1397.912047	8	33667692.43	c35-G	-1.09	0.53	C328H405N126O250P35	
1297.603413	9	51031158.74	c36	2.79	0.18	C343H422N136O258P36	
1704.517054	7	43656838.4	c36+CMCT	0.58	0.27	C357H447N139O259P36	
1491.327024	8	182926228.74	c36+CMCT	0.92	0.08	C357H447N139O259P36	
1325.512178	9	30228171.52	c36+CMCT	0.98	0.33	C357H447N139O259P36	
1335.940913	9	17897834.19	c37	1.88	0.4	C353H434N141O265P37	
1534.459436	8	120229703.37	c37+CMCT	1.86	0.14	C367H459N144O266P37	
1363.850664	9	46723043.99	c37+CMCT	0.87	0.23	C367H459N144O266P37	
1515.577065	8	27633038.11	c37+CMCT-G	1.1	0.33	C362H454N139O265P37	
1372.503848	9	32006733.82	c38	2.96	0.35	C363H446N146O271P38	
1575.586781	8	57702960.9	c38+CMCT	-0.86	0.2	C377H471N149O272P38	
1556.699535	8	83777066.07	c38+CMCT-G	-4.77	0.35	C372H466N144O271P38	
1409.060192	9	49562904.06	c39	-0.7	0.32	C373H458N151O277P39	
1436.980245	9	40615374.93	c39+CMCT	5.55	0.47	C387H483N154O278P39	
1597.834832	8	20615188.91	c39+CMCT-G	-2.31	0.37	C382H478N149O277P39	
1420.19233	9	16495034.99	c39+CMCT-G	2.35	0.46	C382H478N149O277P39	
1445.625466	9	50111504.39	c40	2.0	0.28	C383H470N156O283P40	
1657.855478	8	33532316.76	c40+CMCT	2.54	0.34	C397H495N159O284P40	
1473.538581	9	164295036.63	c40+CMCT	3.34	0.14	C397H495N159O284P40	
1511.873514	9	132619648.88	c41+CMCT	0.83	0.08	C407H507N164O291P41	
1495.085764	9	29247096.72	c41+CMCT-G	-2.16	0.32	C402H502N159O290P41	
2201.268461	6	17428927.5	c41-G	-0.93	0.44	C388H477N156O289P41	
1548.435599	9	90498111.8	c42+CMCT	1.26	0.14	C417H519N169O297P42	
1398.97379	10	151181674.87	c43	1.2	0.41	C412H505N168O304P43	
1424.097911	10	58565917.53	c43+CMCT	4.09	0.23	C426H530N171O305P43	
1408.99112	10	26441222.76	c43+CMCT-G	2.82	0.49	C421H525N166O304P43	
1456.997277	10	72539267.44	c44+CMCT	-0.04	0.15	C436H542N176O311P44	
1487.502142	10	91040075.69	c45+CMCT	0.45	0.13	C445H554N179O318P45	
1352.185651	11	18177327.73	c45+CMCT	2.34	0.44	C445H554N179O318P45	
1379.915333	11	263884553.99	c46+CMCT	1.32	0.15	C454H566N182O325P46	
1366.179272	11	33267957.06	c46+CMCT-G	-1.82	0.34	C449H561N177O324P46	
932.12753	1	8598032.28	w03	0.41	0.07	C27H38N9O22P3	
947.624734	2	12976215.23	w06	-0.39	0.27	C56H73N21O42P6	
1449.200831	2	22342939.76	w09	-0.35	0.33	C86H109N36O61P9	
1522.539681	3	18088156.12	w14	0.77	0.46	C135H168N58O96P14	
1720.452917	5	19698203.29	w26+CMCT	3.47	0.44	C260H332N98O186P26	
867.504341	10	14134913.93	w27	-0.88	0.37	C256H319N100O191P27	
1289.020711	7	27424644.34	w28	2.73	0.45	C266H331N105O198P28	
1385.325263	7	54671556.05	w30	5.83	0.36	C286H355N115O211P30	
1658.238347	6	28744692.78	w30+CMCT	0.28	0.36	C300H380N118O212P30	
1428.899109	7	20022019.85	w31	3.22	0.4	C295H367N118O218P31	
1525.199583	7	28136753.25	w33	3.33	0.38	C315H391N128O231P33	
1929.775877	6	44229863.58	w35+CMCT	-0.18	0.31	C348H440N139O246P35	
1447.080655	8	53819674.61	w35+CMCT	0.21	0.38	C348H440N139O246P35	
1157.46001	10	44409664.31	w35+CMCT	-2.43	0.38	C348H440N139O246P35	
1399.419571	9	241359777.02	w38+CMCT	-0.53	0.26	C378H476N154O266P38	
1409.852679	9	21564632.31	w39	3.43	0.56	C374H463N156O272P39	
1421.67467	10	39707100.48	w44	-1.34	0.25	C419H519N167O311P44	
1490.684761	10	23591155.06	w46	-0.87	0.55	C439H543N177O325P46	
1377.910621	11	328844254.11	w46+CMCT	-2.39	0.13	C453H568N180O326P46	
547.11924	1	7569438.49	y02	-0.53	0.18	C18H25N6O12P1	
852.161601	1	31342898.3	y03	0.92	0.07	C27H37N9O19P2	
1181.213076	1	44280859.11	y04	-0.22	0.11	C37H49N14O25P3	
590.10322	2	9106124.95	y04	0.32	0.33	C37H49N14O25P3	
743.116032	2	46577260.29	y05	0.47	0.06	C46H60N16O33P4	
907.642448	2	115383413.47	y06	0.56	0.06	C56H72N21O39P5	
1033.24541	2	6529095.76	y06+CMCT	3.47	0.55	C70H97N24O40P5	
1080.165491	2	172825847.42	y07	-0.16	0.05	C66H84N26O46P6	
719.774484	3	31835391.67	y07	-0.27	0.16	C66H84N26O46P6	
1205.76528	2	28378918.87	y07+CMCT	-0.22	0.14	C80H109N29O47P6	
1244.691832	2	111844841.65	y08	-0.07	0.06	C76H96N31O52P7	
829.457528	3	34492844.72	y08	-1.6	0.12	C76H96N31O52P7	
1370.295463	2	23521374.76	y08+CMCT	2.67	0.15	C90H121N34O53P7	
1409.219763	2	65636115.59	y09	1.12	0.14	C86H108N36O58P8	
939.143436	3	77597598.28	y09	0.44	0.06	C86H108N36O58P8	
1573.74507	2	45625227.13	y10	0.4	0.07	C96H120N41O64P9	
1048.826918	3	118200636.13	y10	-0.27	0.07	C96H120N41O64P9	
786.367677	4	27693533.69	y10	-1.15	0.12	C96H120N41O64P9	
1699.352421	2	20347739.03	y10+CMCT	4.77	0.34	C110H145N44O65P9	
1746.271129	2	52626308.54	y11	1.7	0.1	C106H132N46O71P10	
1163.843476	3	182297537.99	y11	0.4	0.02	C106H132N46O71P10	
872.630362	4	75072767.0	y11	-0.09	0.09	C106H132N46O71P10	
1278.858115	3	186856012.37	y12	-0.55	0.02	C116H144N51O78P11	
958.892836	4	71312316.47	y12	0.56	0.04	C116H144N51O78P11	
1380.868161	3	111817647.4	y13	0.65	0.08	C125H155N53O86P12	
1035.400448	4	31943895.34	y13	1.76	0.1	C125H155N53O86P12	
1495.887179	3	108429018.83	y14	2.75	0.03	C135H167N58O93P13	
1121.661454	4	244905483.29	y14	0.87	0.03	C135H167N58O93P13	
897.126274	5	167618360.47	y14	-0.73	0.04	C135H167N58O93P13	
1579.620964	3	35460286.15	y14+CMCT	2.94	0.22	C149H192N61O94P13	
1083.89721	4	24533191.13	y14-G	-0.85	0.37	C130H162N53O92P13	
1597.892781	3	85061957.39	y15	0.8	0.09	C144H178N60O101P14	
1198.16858	4	41326600.59	y15	1.48	0.19	C144H178N60O101P14	
958.333302	5	26662360.1	y15	1.37	0.19	C144H178N60O101P14	
1681.629103	3	36197739.03	y15+CMCT	2.58	0.15	C158H203N63O102P14	
1699.57571	3	57651612.2	y16	2.22	0.15	C153H190N63O108P15	
1274.424426	4	17867040.72	y16	-2.12	0.34	C153H190N63O108P15	
1783.306572	3	18826242.57	y16+CMCT	0.78	0.36	C167H215N66O109P15	
1814.593899	3	70923457.73	y17	3.39	0.1	C163H202N68O115P16	
1360.689223	4	48432689.34	y17	0.17	0.27	C163H202N68O115P16	
1088.351071	5	61784914.12	y17	1.23	0.12	C163H202N68O115P16	
1898.323707	3	25472151.64	y17+CMCT	1.43	0.31	C177H227N71O116P16	
1423.490571	4	24905849.69	y17+CMCT	1.15	0.58	C177H227N71O116P16	
1929.61063	3	52693990.61	y18	3.67	0.2	C173H214N73O122P17	
1446.954791	4	72706699.6	y18	2.73	0.12	C173H214N73O122P17	
1157.360338	5	77665679.46	y18	0.96	0.11	C173H214N73O122P17	
964.298259	6	53683067.67	y18	0.12	0.14	C173H214N73O122P17	
2013.343983	3	22954237.66	y18+CMCT	3.56	0.41	C187H239N76O123P17	
1509.755544	4	32826543.74	y18+CMCT	3.15	0.24	C187H239N76O123P17	
1127.149363	5	17233886.16	y18-G	0.02	0.44	C168H209N68O121P17	
2031.611478	3	27036660.47	y19	-0.25	0.23	C182H225N75O130P18	
1523.453014	4	49591781.27	y19	-2.73	0.32	C182H225N75O130P18	
1015.302269	6	26390377.05	y19	-0.09	0.26	C182H225N75O130P18	
1599.719555	4	42674125.35	y20	1.29	0.24	C191H237N78O137P19	
1675.97896	4	78543505.05	y21	0.68	0.11	C200H249N81O144P20	
1401.789259	5	3750048725.95	y22	2.43	0.51	C209H260N83O152P21	
1371.578477	5	177744802.94	y22-G	1.82	0.05	C204H255N78O151P21	
1838.750863	4	50927573.25	y23	2.64	0.36	C219H272N88O159P22	
1470.794631	5	23917644.09	y23	-0.49	0.58	C219H272N88O159P22	
1225.497536	6	64148993.82	y23	2.14	0.24	C219H272N88O159P22	
1050.280193	7	51798202.93	y23	-0.11	0.09	C219H272N88O159P22	
1901.548191	4	77815675.51	y23+CMCT	1.18	0.11	C233H297N91O160P22	
1915.005603	4	63900496.32	y24	-0.38	0.15	C228H284N91O166P23	
1531.808723	5	54578305.29	y24	3.34	0.12	C228H284N91O166P23	
1276.334049	6	21662214.8	y24	-0.84	0.39	C228H284N91O166P23	
1977.805706	4	90120548.99	y24+CMCT	-0.28	0.09	C242H309N94O167P23	
1582.045476	5	38807266.45	y24+CMCT	1.21	0.2	C242H309N94O167P23	
1593.013648	5	32577501.46	y25	3.13	0.29	C237H295N93O174P24	
2054.317156	4	20084036.19	y25+CMCT	2.22	0.46	C251H320N96O175P24	
1643.254008	5	62632572.06	y25+CMCT	3.28	0.21	C251H320N96O175P24	
1369.200525	6	20718267.04	y25+CMCT	-3.97	0.46	C251H320N96O175P24	
1378.345124	6	42186838.91	y26	1.14	0.48	C246H306N95O182P25	
1395.035789	6	47892936.18	y26+CMCT-G	0.36	0.15	C255H326N93O182P25	
1433.181376	6	30436529.76	y27	-2.98	0.26	C256H318N100O188P26	
1770.272522	5	33737540.24	y27+CMCT	4.71	0.34	C270H343N103O189P26	
1475.044332	6	19982016.99	y27+CMCT	-5.38	0.43	C270H343N103O189P26	
1264.185062	7	31425039.74	y27+CMCT	-1.23	0.27	C270H343N103O189P26	
1087.155472	8	14750507.35	y27+CMCT-G	-0.68	0.37	C265H338N98O188P26	
1408.008638	6	29769207.96	y27-G	-1.49	0.31	C251H313N95O187P26	
1490.691028	6	38976126.78	y28	-1.69	0.23	C266H330N105O195P27	
1839.279267	5	189492871.77	y28+CMCT	3.04	0.05	C280H355N108O196P27	
1532.566541	6	69471560.98	y28+CMCT	4.15	0.16	C280H355N108O196P27	
1313.482248	7	81664026.18	y28+CMCT	2.39	0.09	C280H355N108O196P27	
1809.067396	5	18908270.67	y28+CMCT-G	2.0	0.52	C275H350N103O195P27	
1908.283021	5	133329817.2	y29+CMCT	-0.07	0.07	C290H367N113O203P28	
1590.07372	6	112070795.64	y29+CMCT	3.55	0.08	C290H367N113O203P28	
1362.772081	7	66557942.68	y29+CMCT	0.35	0.21	C290H367N113O203P28	
1564.902501	6	25936236.42	y29+CMCT-G	5.96	0.55	C285H362N108O202P28	
1523.025843	6	50999841.38	y29-G	-0.47	0.18	C271H337N105O201P28	
1409.776176	7	16525016.1	y30+CMCT	-2.08	0.39	C300H379N118O209P29	
1233.427446	8	28890326.94	y30+CMCT	-2.73	0.31	C300H379N118O209P29	
1388.201507	7	1202742991.16	y30+CMCT-G	0.64	0.61	C295H374N113O208P29	
1695.760283	6	41539067.43	y31+CMCT	5.84	0.25	C309H391N121O216P30	
1628.711877	6	16772288.75	y31-G	1.86	0.4	C290H361N113O214P30	
1711.388227	6	47603317.74	y32	-2.01	0.24	C305H378N123O222P31	
1466.762774	7	137567804.49	y32	-0.32	0.12	C305H378N123O222P31	
1753.257362	6	1259100895.25	y32+CMCT	-0.53	0.02	C319H403N126O223P31	
1502.654847	7	463750934.11	y32+CMCT	3.94	0.03	C319H403N126O223P31	
1314.695895	8	68794854.9	y32+CMCT	3.04	0.19	C319H403N126O223P31	
1728.088583	6	102988990.63	y32+CMCT-G	3.01	0.15	C314H398N121O222P31	
1264.409956	8	25312933.85	y32-G	-0.63	0.26	C300H373N118O221P31	
1808.099421	6	27656566.83	y33+CMCT	-0.53	0.28	C329H415N131O229P32	
1355.824623	8	61786791.62	y33+CMCT	0.86	0.16	C329H415N131O229P32	
949.210515	11	12489431.57	y33-G	-0.1	0.41	C310H385N123O227P32	
1593.236708	7	56259773.42	y34+CMCT	1.86	0.21	C338H427N134O236P33	
1013.509527	11	26289689.21	y34+CMCT	-0.21	0.26	C338H427N134O236P33	
1405.687443	8	65673678.36	y35	2.04	0.15	C334H414N136O242P34	
1642.528336	7	183434927.6	y35+CMCT	1.27	0.08	C348H439N139O243P34	
1437.085657	8	95080226.84	y35+CMCT	0.77	0.2	C348H439N139O243P34	
1689.541396	7	63834754.27	y36+CMCT	4.53	0.2	C358H451N144O249P35	
1478.222743	8	97577952.54	y36+CMCT	4.48	0.1	C358H451N144O249P35	
1738.832551	7	56019256.56	y37+CMCT	3.63	0.27	C368H463N149O256P36	
1521.351913	8	198552994.08	y37+CMCT	3.2	0.06	C368H463N149O256P36	
1352.201944	9	15989611.65	y37+CMCT	3.98	0.49	C368H463N149O256P36	
1502.465829	8	194755086.92	y37+CMCT-G	-0.03	0.4	C363H458N144O255P36	
1564.480539	8	243540636.72	y38+CMCT	1.64	0.08	C378H475N154O263P37	
1545.594936	8	15934396.09	y38+CMCT-G	-1.21	0.47	C373H470N149O262P37	
1576.210647	8	17612210.97	y39	1.09	0.42	C374H462N156O269P38	
1400.965372	9	5293781004.25	y39	1.91	0.08	C374H462N156O269P38	
1607.609527	8	305898760.04	y39+CMCT	0.39	0.04	C388H487N159O270P38	
1428.87807	9	66031567.73	y39+CMCT	3.01	0.22	C388H487N159O270P38	
1588.732102	8	47411230.51	y39+CMCT-G	2.75	0.22	C383H482N154O269P38	
1557.326839	8	58913100.0	y39-G	-0.59	0.39	C369H457N151O268P38	
1384.182417	9	457710644.54	y39-G	2.16	0.06	C369H457N151O268P38	
1645.86369	8	48187210.59	y40+CMCT	0.99	0.26	C397H498N161O278P39	
1462.878458	9	89526217.1	y40+CMCT	1.28	0.13	C397H498N161O278P39	
1496.885224	9	122387196.77	y41+CMCT	3.89	0.12	C406H509N163O286P40	
1480.096827	9	25919842.73	y41+CMCT-G	0.47	0.3	C401H504N158O285P40	
2178.78122	6	15470120.39	y41-G	0.01	0.49	C387H479N155O284P40	
1530.778725	9	92496652.72	y42+CMCT	3.82	0.13	C415H521N166O293P41	
1377.597594	10	59307556.57	y42+CMCT	1.99	0.48	C415H521N166O293P41	
1362.491932	10	31077742.13	y42+CMCT-G	1.48	0.46	C410H516N161O292P41	
1564.776968	9	86700310.78	y43+CMCT	0.82	0.49	C424H532N168O301P42	
1408.193676	10	26405781.61	y43+CMCT	-2.64	0.35	C424H532N168O301P42	
1393.095672	10	31632517.46	y43+CMCT-G	2.31	0.39	C419H527N163O300P42	
1438.796965	10	85995690.62	y44+CMCT	-2.05	0.17	C433H543N170O309P43	
1398.5741	10	158967114.39	y44-G	-0.64	0.19	C414H513N162O307P43	
1473.309036	10	146079196.67	y45+CMCT	2.97	0.23	C443H555N175O316P44	
1507.813321	10	188148388.87	y46+CMCT	2.6	0.06	C453H567N180O323P45	

 
 
Overlaps:
m/z 	z 	Int 	fragment 	error 	
915.10911	5	7729899.609131168	c14	1.83	
915.10911	9	2538530.007411517	a26-G	-1.97	
955.43897	6	4062767.45402795	c18-G	-7.5	
955.43897	10	2560636.1063259514	a29+CMCT	4.09	
981.11923	4	18088249.5047214	c12	6.73	
981.11923	5	145418003.73341864	c15	0.81	
